binary;function;function count;common linux file;networking;
/sbin/mtd_write (-rwxr-xr-x root root);popen;1;false;no;
/bin/pptp (-rwxr-xr-x root root);strcpy;1;true;yes;
/bin/ip6tables (-rwxr-xr-x root root);system;1;true;no;
/sbin/mtd_write (-rwxr-xr-x root root);printf;1;false;no;
/sbin/lanmapd2 (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/iptables (-rwxr-xr-x root root);printf;1;true;no;
/bin/routed (-rwxr-xr-x root root);system;1;false;yes;
/bin/nmbd (-rwxr-xr-x root root);printf;1;true;yes;
/bin/busybox (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/mtd_write (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);printf;1;true;yes;
/sbin/resetd (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/tftpd (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/wscd (-rwxr-xr-x root root);system;1;false;yes;
/bin/pptp (-rwxr-xr-x root root);system;1;true;yes;
/sbin/mtd_write (-rwxr-xr-x root root);strcat;1;false;no;
/bin/tc (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/resetd (-rwxr-xr-x root root);mmap;1;false;no;
/bin/pppd (-rwxr-xr-x root root);printf;1;true;yes;
/sbin/dumpleases (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/app_sync (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/tftpd (-rwxr-xr-x root root);mmap;1;true;yes;
/sbin/resetd (-rwxr-xr-x root root);popen;1;false;no;
/sbin/mtd_write (-rwxr-xr-x root root);strcpy;1;false;no;
/bin/ip (-rwxr-xr-x root root);printf;1;true;yes;
/sbin/app_sync (-rwxr-xr-x root root);mmap;1;false;yes;
/sbin/dumpleases (-rwxr-xr-x root root);mmap;1;false;no;
/sbin/lanmapd2 (-rwxr-xr-x root root);printf;1;false;yes;
/sbin/resetd (-rwxr-xr-x root root);printf;1;false;no;
/sbin/mtd_write (-rwxr-xr-x root root);system;1;false;no;
/sbin/tftpd (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/dumpleases (-rwxr-xr-x root root);popen;1;false;no;
/sbin/app_sync (-rwxr-xr-x root root);popen;1;false;yes;
/bin/iptables (-rwxr-xr-x root root);sprintf;1;true;no;
/sbin/dnsmasq (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/resetd (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/dumpleases (-rwxr-xr-x root root);printf;1;false;no;
/sbin/app_sync (-rwxr-xr-x root root);printf;1;false;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/resetd (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/tftpd (-rwxr-xr-x root root);printf;1;true;yes;
/bin/tc (-rwxr-xr-x root root);strcat;1;true;yes;
/sbin/dumpleases (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/app_sync (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/resetd (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/dhcp6s (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/ntfs-3g (-rwxr-xr-x root root);sprintf;1;true;no;
/sbin/dumpleases (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/lanmapd2 (-rwxr-xr-x root root);strcat;1;false;yes;
/sbin/tftpd (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/app_sync (-rwxr-xr-x root root);strcat;1;false;yes;
/sbin/resetd (-rwxr-xr-x root root);system;1;false;no;
/sbin/signalc (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/dumpleases (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/pppd (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/app_sync (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/tftpd (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/ip (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/dumpleases (-rwxr-xr-x root root);system;1;false;no;
/sbin/lanmapd2 (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/iptables (-rwxr-xr-x root root);strcat;1;true;no;
/sbin/proxy (-rwxr-xr-x root root);fprintf;1;true;yes;
/sbin/app_sync (-rwxr-xr-x root root);system;1;false;yes;
/sbin/getBootVersion (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/tftpd (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/proxy (-rwxr-xr-x root root);mmap;1;true;yes;
/sbin/getBootVersion (-rwxr-xr-x root root);mmap;1;false;no;
/bin/tc (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);system;1;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/signalc (-rwxr-xr-x root root);mmap;1;false;yes;
/sbin/dnsmasq (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/getBootVersion (-rwxr-xr-x root root);popen;1;false;no;
/sbin/tftpd (-rwxr-xr-x root root);system;1;true;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);popen;1;false;yes;
/bin/nmbd (-rwxr-xr-x root root);sprintf;1;true;yes;
/sbin/bulkagent (-rwxr-xr-x root root);mmap;1;false;no;
/sbin/proxy (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/ntpclient (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/getBootVersion (-rwxr-xr-x root root);printf;1;false;no;
/sbin/lang_merge (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/getBootVersion (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);popen;1;false;no;
/sbin/proxy (-rwxr-xr-x root root);printf;1;true;yes;
/bin/smbd (-rwxr-xr-x root root);popen;1;true;yes;
/bin/iptables (-rwxr-xr-x root root);strcpy;1;true;no;
/sbin/ntpclient (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/ip (-rwxr-xr-x root root);strcat;1;true;yes;
/sbin/signalc (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);mmap;1;false;no;
/bin/busybox (-rwxr-xr-x root root);printf;1;true;yes;
/sbin/getBootVersion (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);system;1;true;yes;
/sbin/bulkagent (-rwxr-xr-x root root);printf;1;false;no;
/sbin/proxy (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/pppd (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/tc (-rwxr-xr-x root root);system;1;true;yes;
