binary;function;function count;common linux file;networking;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);sprintf;13;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);fprintf;45;false;no;
/web/cgi-bin/config/sensor_reset.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/mic.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/audio_detection.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/wireless_ap.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/stream_auth.cgi (-rwxr-xr-x root root);system;3;false;no;
/web/cgi-bin/config/pppoe.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/led.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/notify_stream.cgi (-rwxr-xr-x root root);sprintf;14;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/firmwareupgrade.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/sensor_reset.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);system;8;false;no;
/web/cgi-bin/config/sensor.cgi (-rwxr-xr-x root root);fprintf;12;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/audio_detection.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/wireless_ap.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);fprintf;5;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/led.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);strcat;2;false;no;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/firmwareupgrade.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/timestamp.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/sensor.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/motion.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/video_type.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/wlansurvey.cgi (-rwxr-xr-x root root);fprintf;21;false;no;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);strcpy;4;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/sensor_output.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/timestamp.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/motion.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);system;3;false;no;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);system;3;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);strcpy;4;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);fprintf;59;false;no;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);strcpy;3;false;no;
/web/cgi-bin/users/verify.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/users/env_sound_lv.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/localrecording/queryconf.cgi (-rwxr-xr-x root root);fprintf;8;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);popen;1;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);fprintf;29;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);fprintf;31;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);printf;8;false;no;
/web/cgi-bin/common/info.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);printf;3;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);popen;2;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);popen;2;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);sprintf;60;false;no;
/web/cgi-bin/cgi/hardfactorydefault.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/wireless.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/cgi/audiovideo.cgi (-rwxr-xr-x root root);system;7;false;no;
